Sub_Domain_ID,IT Subdomains
IT.01.AD,Application Development
IT.02.AIBI,Artificial  and Business Intelligence
IT.03.CS,Customer Support
IT.04.DMA,Data Management and Analysis
IT.05.ERPM,Enterprice and Process Management
IT.06.IS,Information Security
IT.07.ITIA,IT Infrastructure Administration
IT.08.NA,Network Admistration
IT.09.PPM,Product and Program Management
IT.10.PDCS,Production Deployment and Cloud Services
IT.11.SD,Software Developement
IT.12.TA,Testing  and Automation
IT.13.TML,Top Management and Leadership
IT.14.UE,User Experience
